Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
0027009C,Kirlia,No,22C46AF7,96D91BC7,Grass,31,31,31,31,31,31,Trace,Relaxed,Male,49,52,123,0
0049B484,Basculin,No,22E71EDF,2C956446,Poison,31,31,31,31,31,31,Adaptability,Quiet,Male,210,182,99,0
00AAF66C,Luxio,No,234860C7,A88E4E3A,Ghost,31,31,31,31,31,31,Rivalry,Timid,Female,213,66,194,0
00BB39EC,Chansey,No,2358A447,E7937D94,Ghost,31,31,31,31,31,31,Healer,Jolly,Female,98,198,240,0
013C5EF1,Flaaffy,No,23D9C94C,006847F6,Electric,31,31,31,31,31,31,Plus,Hardy,Female,136,57,164,0
014EE976,Lokix,No,23EC53D1,36E9BB45,Fairy,31,31,31,31,31,31,Swarm,Naive,Female,220,72,115,0
01676471,Glimmet,No,2404CECC,95220DDC,Electric,31,31,31,31,31,31,Corrosion,Hardy,Male,34,100,103,0
01AF5501,Zorua,No,244CBF5C,B52E900C,Electric,31,31,31,31,31,31,Illusion,Brave,Male,189,88,67,0
01BFC0FC,Fletchinder,No,245D2B57,F3527F12,Grass,31,31,31,31,31,31,Gale Wings,Careful,Male,127,112,197,0
021DAEFC,Indeedee,No,24BB1957,7AE454F8,Grass,31,31,31,31,31,31,Inner Focus,Hardy,Male,96,32,220,0
0246947C,Hippopotas,No,24E3FED7,165C7EB2,Grass,31,31,31,31,31,31,Sand Stream,Brave,Female,156,105,200,0
029E30F1,Numel,No,253B9B4C,798DE3DC,Electric,31,31,31,31,31,31,Own Tempo,Mild,Female,114,103,202,0
02C50A71,Rufflet,No,256274CC,1CC3CAC6,Electric,31,31,31,31,31,31,Sheer Force,Modest,Male,221,143,116,0
035E6EF3,Indeedee,No,25FBD94E,768E77D2,Ice,31,31,31,31,31,31,Synchronize,Quiet,Male,73,72,92,0
03DE541C,Marill,No,267BBE77,76F396F7,Grass,31,31,31,31,31,31,Thick Fat,Brave,Female,57,169,193,0
040D0170,Oinkologne,No,26AA6BCB,433188A2,Grass,31,31,31,31,31,31,Lingering Aroma,Calm,Male,122,123,147,0
046D8D77,Staravia,No,270AF7D2,C1150D8E,Dark,31,31,31,31,31,31,Intimidate,Brave,Male,201,111,69,0
047FF7F0,Riolu,No,271D624B,F72F02EA,Grass,31,31,31,31,31,31,Prankster,Relaxed,Male,104,127,159,0
049E4B87,Gumshoos,No,273BB5E2,7EA9322B,Flying,31,31,31,31,31,31,Stakeout,Brave,Female,116,71,163,0
04E18074,Larvesta,No,277EEACF,9183873A,Dragon,31,31,31,31,31,31,Swarm,Naive,Male,9,198,95,0
055EAA71,Rufflet,No,27FC14CC,7B5BE5DE,Electric,31,31,31,31,31,31,Sheer Force,Jolly,Male,135,84,157,0
0563DD04,Qwilfish,No,2801475F,86C31FE6,Poison,31,31,31,31,31,31,Poison Point,Bashful,Male,129,105,121,0
056AD085,Zangoose,No,28083AE0,AAEB36CF,Normal,31,31,31,31,31,31,Immunity,Bashful,Female,223,106,165,0
058B6CF2,Carkol,No,2828D74D,29310200,Psychic,31,31,31,31,31,31,Flash Fire,Timid,Male,146,39,70,0
068F879A,Lokix,No,292CF1F5,37676C7F,Rock,31,31,31,31,31,31,Tinted Lens,Quirky,Male,101,164,126,0
06958E93,Gothorita,No,2932F8EE,5F7C57CC,Ice,31,31,31,31,31,31,Frisk,Relaxed,Female,124,199,143,0
06DB2E14,Pawmo,No,2978986F,68C0B949,Dragon,31,31,31,31,31,31,Natural Cure,Quirky,Female,136,167,188,0
06E59816,Pincurchin,No,29830271,9FA0324B,Fairy,31,31,31,31,31,31,Lightning Rod,Bashful,Female,67,74,146,0
079AA0EF,Fletchinder,No,2A380B4A,69F13C68,Water,31,31,31,31,31,31,Flame Body,Naughty,Male,69,81,97,0
07F455F0,Cubchoo,No,2A91C04B,E39B68A6,Grass,31,31,31,31,31,31,Snow Cloak,Hasty,Female,120,174,176,0
081217ED,Riolu,No,2AAF8248,51577457,Steel,31,31,31,31,31,31,Inner Focus,Gentle,Male,112,114,102,0
08280A7B,Rufflet,No,2AC574D6,B9EC8C82,Rock,31,31,31,31,31,31,Keen Eye,Timid,Male,168,116,220,0
087330FB,Numel,No,2B109B56,CDC64368,Rock,31,31,31,31,31,31,Own Tempo,Impish,Male,143,129,54,0
089FB1FF,Kricketune,No,2B3D1C5A,7C5034D0,Fire,31,31,31,31,31,31,Swarm,Sassy,Female,140,22,70,0
08AC857A,Kirlia,No,2B49EFD5,C84B9CF0,Bug,31,31,31,31,31,31,Synchronize,Quiet,Female,106,193,135,0
08CF9777,Gible,No,2B6D01D2,3BB030FB,Fairy,31,31,31,31,31,31,Rough Skin,Calm,Male,91,97,90,0
08F0AEF6,Indeedee,No,2B8E1951,D8ACF62C,Fairy,31,31,31,31,31,31,Inner Focus,Hasty,Male,131,54,152,0
09154A1F,Pincurchin,No,2BB2B47A,6599B556,Fire,31,31,31,31,31,31,Lightning Rod,Careful,Female,134,160,203,0
09765812,Mareanie,No,2C13C26D,E14080CB,Psychic,31,31,31,31,31,31,Merciless,Adamant,Female,167,87,75,0
0984EF92,Numel,No,2C2259ED,28AE6BDF,Psychic,31,31,31,31,31,31,Oblivious,Rash,Male,35,84,125,0
099BCB8C,Corvisquire,No,2C3935E7,6C0DBA7D,Ghost,31,31,31,31,31,31,Unnerve,Lonely,Female,130,79,198,0
09AE26FE,Gothorita,No,2C4B9159,C1E7D64D,Water,31,31,31,31,31,31,Competitive,Docile,Female,155,139,86,0
0A11A177,Oinkologne,No,2CAF0BD2,51E9F119,Fairy,31,31,31,31,31,31,Gluttony,Bold,Male,142,106,134,0
0A3AF3F9,Makuhita,No,2CD85E54,EF3A58C7,Ghost,31,31,31,31,31,31,Guts,Brave,Male,99,113,71,0
0A7DBB12,Zangoose,No,2D1B256D,0219C5DF,Psychic,31,31,31,31,31,31,Immunity,Quiet,Female,219,161,185,0
0A913A16,Cubchoo,No,2D2EA471,54ACE247,Fairy,31,31,31,31,31,31,Rattled,Naughty,Male,158,111,51,0
0B391204,Stantler,No,2DD67C5F,F2D9D0BB,Ground,31,31,31,31,31,31,Sap Sipper,Naughty,Female,51,99,194,0
0B52C0F6,Fletchinder,No,2DF02B51,4D435206,Fairy,31,31,31,31,31,31,Flame Body,Gentle,Male,64,99,68,0
